driverId,week,hours-logged,miles-logged
78,35,54,1900
29,16,76,2400
84,25,80,100
46,26,77,500
20,44,73,3100
56,51,80,400
10,6,59,0
94,38,76,3200
52,27,62,2400
15,5,51,1600
55,1,67,3000
42,45,79,600
82,3,51,1400
14,46,70,100
50,51,53,1600
42,10,76,100
96,52,55,2000
98,49,64,4000
23,14,50,3600
20,25,60,3900
108,47,79,0
101,37,68,1800
33,24,55,0
25,31,60,2700
77,48,56,3000
73,21,76,1800
82,48,57,0
53,3,57,500
94,44,59,2700
107,13,57,3300
90,49,77,1900
39,21,58,1100
53,11,52,3600
40,21,50,3600
52,6,57,2100
39,6,69,1000
99,35,62,400
44,1,57,3800
12,26,72,3200
55,3,70,3600
48,6,65,1200
29,48,78,900
62,34,60,1200
15,9,62,1800
89,30,73,700
47,25,79,600
77,31,66,2200
95,2,53,3400
31,13,60,3300
100,8,68,3700
47,52,59,1600
109,21,78,3500
48,38,73,4000
30,38,70,2900
46,23,63,1300
101,46,75,1400
25,46,66,600
101,46,55,2600
71,5,68,1600
35,34,64,3600
70,46,73,3000
43,16,58,2100
11,51,50,3300
32,24,53,500
93,4,73,1500
75,30,79,1500
84,41,73,3300
60,42,54,1100
53,8,79,1900
58,52,61,1600
102,19,73,3700
11,36,75,3700
12,35,56,1200
17,43,74,1800
37,15,70,1500
96,38,80,2900
87,16,78,1100
18,25,73,2900
11,43,64,2700
41,36,57,700
76,45,77,1800
109,46,76,1200
80,33,56,3200
101,51,63,300
88,33,73,2500
67,33,76,1500
66,31,57,2300
56,40,59,2300
55,48,67,3100
46,23,50,1900
94,17,77,0
86,4,66,1800
84,11,75,2900
75,28,76,2400
51,11,64,1300
15,12,63,300
11,42,74,2700
67,29,50,1600
58,39,74,4000
53,48,65,2400
35,16,57,1800
53,42,78,2700
25,51,57,4000
89,12,56,3600
106,37,67,3400
35,27,79,3400
28,16,65,300
29,4,77,1900
90,9,58,1100
95,32,75,3800
58,34,54,2000
24,33,55,300
36,15,71,3700
38,37,52,1900
38,39,53,1200
15,20,56,2900
86,23,71,3800
83,41,59,1900
103,46,70,2300
63,31,52,1500
49,29,67,500
33,26,68,200
32,26,60,2100
107,21,65,2600
71,38,75,2300
36,21,51,100
17,2,67,3000
75,32,50,3900
104,45,80,800
43,16,74,300
94,24,53,2500
42,7,65,3100
16,44,58,2300
29,3,63,3400
92,36,54,1400
74,48,63,0
41,15,53,3400
25,20,51,400
107,3,55,2700
80,18,77,800
25,17,62,300
74,37,66,2000
19,11,80,2500
77,10,55,0
72,32,57,1800
90,46,67,1200
45,35,53,2700
53,5,59,3700
15,42,76,0
46,52,72,2100
75,6,61,1400
43,3,72,2400
60,50,72,600
38,3,66,1100
66,45,76,1300
101,17,52,2200
104,13,58,2900
105,8,68,2900
12,43,72,2200
104,29,59,2700
16,30,79,3800
83,12,57,3200
107,30,66,3900
69,2,62,1200
51,5,64,2100
73,22,77,3200
65,11,79,3400
30,23,71,700
24,42,67,3600
15,46,61,1400
56,22,72,2800
65,12,57,1600
105,47,71,1600
67,26,66,0
45,37,70,500
16,52,54,2900
37,38,51,1900
32,51,50,2400
25,20,59,2600
17,34,72,1400
44,22,55,1600
78,13,61,1700
13,14,65,3200
18,1,51,3900
73,46,62,3700
69,39,58,300
87,44,67,3700
57,52,60,3400
45,43,59,3000
22,33,55,1300
12,2,76,3400
35,6,71,800
71,51,68,1100
30,3,53,1500
66,35,55,200
103,10,77,600
94,19,61,2000
93,40,78,2000
80,5,53,1800
97,44,63,100
19,15,68,200
28,47,80,1000
106,28,75,0
28,26,60,3400
37,45,66,2700
106,20,62,2600
56,42,63,2300
47,45,53,3200
92,6,78,800
21,18,54,3100
33,49,67,1100
23,11,54,400
94,41,71,3900
59,51,80,1000
45,50,76,2900
60,29,73,500
108,34,53,700
73,12,53,1300
76,48,66,3700
31,26,69,3200
105,16,78,3500
28,40,54,2000
36,24,68,1700
26,43,69,3500
90,36,57,500
54,12,71,600
20,18,78,1600
75,24,73,800
106,38,75,3000
91,15,78,1700
56,16,66,1900
24,3,78,700
109,28,67,2200
54,28,51,3000
89,12,75,3900
82,22,60,4000
37,27,59,1600
100,26,79,1900
97,3,75,1400
67,20,71,1800
28,52,53,2200
92,37,67,3200
75,5,58,700
62,30,64,3800
46,21,66,400
88,26,64,2000
98,30,72,4000
63,3,66,500
29,1,55,3300
89,2,58,3100
41,9,78,3100
59,37,51,2200
109,49,71,2800
17,26,64,2200
27,7,75,1400
64,33,62,800
44,28,71,1800
28,41,66,3700
23,23,70,1300
69,38,71,400
28,17,52,1700
77,5,60,0
12,11,53,1500
97,23,72,3500
24,45,67,3700
21,35,71,1300
91,6,74,300
43,30,66,3500
24,22,54,1700
59,48,74,3800
99,35,73,3000
107,32,59,2300
90,30,66,2700
16,8,61,1700
30,46,67,500
38,36,68,4000
98,5,69,1400
88,20,79,3000
90,19,75,700
89,9,71,600
12,19,66,2900
28,31,53,1300
93,3,71,2700
43,23,71,2200
10,6,58,800
46,17,73,300
105,40,80,3300
96,51,79,3800
74,46,68,600
62,43,80,1100
55,28,73,1300
60,14,70,1000
86,26,59,3600
49,1,58,400
25,29,77,4000
51,51,51,1100
97,6,74,2400
34,18,78,2400
85,27,71,2400
15,26,55,2500
27,48,59,2500
39,26,53,3000
81,39,50,3600
63,21,78,1600
68,28,68,700
56,21,77,3600
95,3,75,500
48,38,72,500
109,16,67,1200
80,29,61,2500
64,14,56,400
105,49,65,1700
101,11,68,2600
82,13,71,2500
109,37,65,2500
41,50,70,300
84,21,55,1200
64,38,54,2700
47,6,64,1900
94,8,50,400
60,52,64,0
50,4,51,4000
61,30,67,1600
69,36,64,2600
43,18,53,3500
30,17,66,200
35,29,57,3000
30,33,77,2500
45,38,59,400
105,29,63,2200
74,50,64,3800
90,41,52,3700
31,31,56,1300
51,45,78,2000
83,51,75,1500
28,27,61,3900
70,20,63,1900
55,10,55,3200
27,36,76,3100
88,23,59,1700
45,10,67,3000
89,37,69,2500
70,24,54,2800
82,22,73,1000
63,7,66,3000
70,9,53,1600
88,9,55,400
81,12,66,2200
75,4,71,3000
106,19,70,3600
40,21,64,200
58,23,78,3200
14,26,52,3600
26,8,65,3400
68,9,75,1300
13,39,56,1100
29,11,77,2900
87,49,57,1000
34,38,55,3300
66,14,75,900
78,1,59,3600
26,48,80,2400
37,13,57,500
40,50,57,1200
10,11,62,4000
40,22,60,3500
69,36,62,3000
51,44,70,2100
97,21,70,1700
73,38,58,1300
85,21,67,2200
50,18,75,3800
105,21,50,2900
39,34,50,100
84,3,68,400
53,15,53,900
25,46,67,1400
85,35,66,2800
57,46,75,900
62,1,51,700
10,49,59,600
66,11,66,3100
91,48,72,2300
97,44,53,3800
95,26,64,100
38,37,75,100
90,14,72,900
26,34,72,100
22,12,80,2800
52,27,77,1800
12,7,75,3300
16,42,79,3500
70,11,72,3800
64,13,77,2300
55,49,72,400
66,31,74,1000
60,32,74,1300
76,21,80,1300
78,8,66,400
17,9,72,2100
90,10,59,400
69,37,73,2600
77,12,57,300
15,8,74,3300
14,2,60,200
19,51,77,1900
25,22,56,3400
52,17,66,2900
88,9,52,2500
108,30,55,4000
95,51,69,700
101,12,55,1200
27,36,60,2900
73,47,77,1600
67,36,67,3000
80,9,50,3900
99,14,56,3100
77,13,64,2800
104,25,58,2300
13,41,72,3100
70,9,56,4000
82,33,61,400
109,38,59,1500
25,24,61,3700
16,9,75,300
93,14,67,3700
69,28,70,900
99,45,50,600
23,2,61,1300
17,52,62,100
57,40,75,3600
58,18,77,3400
23,44,80,1100
71,8,80,3100
97,4,60,2500
79,24,74,3900
88,20,63,600
74,18,60,1800
92,29,73,3100
42,2,70,3300
38,27,71,900
78,16,76,1300
109,9,68,3300
